#StationName  TWD97 - 250000 meters					WGS84(latitude,longitude)
社后消防隊	63547.602639416073,2773129.3078971524	25.065038,121.629882
世電社區	63689.520024816564,2773245.723792789	25.066083,121.631294
北峰里	63811.236096337743,2775138.8704255386	25.0831687,121.6325882
金龍國小	63330.226043569259,2773575.4736014754	25.069075,121.627748
木楠煤礦	63026.860971009439,2773333.145085407	25.0669,121.62473
經貿園區	62667.83664364407,2773300.8080884842	25.066623,121.62117
北山里	62955.148239473187,2773597.50859035	25.0692896,121.6240313
北山里	16712.703024728642,2744283.6423805375	24.8058508,121.1653117
東湖國小	62111.204485805574,2773525.5610896433	25.068675,121.615663
五分社區	61881.579765467548,2773547.7790689925	25.068885,121.613388
明湖國中	61604.39888571934,2773734.8321119728	25.070585,121.610649
明湖國小(公共電視台)	61519.296499533943,2773813.8695261497	25.071302,121.609809
捷運葫洲站(康寧專校)	61290.137840367461,2773935.791645993	25.072412,121.607543
康寧醫院	61414.66797677421,2774315.3264485281	25.0758333,121.6087943
黃石公廟	61221.306003041784,2774481.2311231978	25.0773389,121.606885
大湖公園	60973.406206993204,2775027.4974464341	25.0822805,121.6044519
捷運大湖公園站	60739.418737645625,2775199.6406046539	25.083844,121.60214
大湖														25.084394,121.60024
金龍里	63528.640446799494,2774037.9730598177	25.073242,121.629736
金龍里	60141.000096960517,2775413.7958206311	25.0858013,121.5962172
金龍里	18867.844086001267,2755966.1039212411	24.9113009,121.1867873
捷運內湖站	59959.442505132625,2775175.8062053048	25.08366,121.594407
湖光市場	59688.509612226313,2774963.2700545127	25.081752,121.591712
成功路三段	59494.288292411882,2774579.4819801985	25.0782949,121.5897701
內湖高中	59173.476541297343,2774523.5102336719	25.0778022,121.5865876
捷運文德站(碧湖公園)	58925.163172554923,2774589.6494280053	25.078409,121.584129
湖光國宅	58575.621491955069,2774610.5186838047	25.078611,121.580665
西湖圖書館(湖光教會)	58363.1793119985,2774607.5031298185	25.078592,121.578559
捷運港墘站(內湖高工)	57994.722949051793,2774759.1240061587	25.079975,121.574913
麗山國中	58028.374586064579,2774958.6507032295	25.081775,121.575255
麗山街	-6459.6228041022241,2740764.0519669233	24.7741514,120.9361216
恕德家商	57431.845809133534,2774991.2383976919	25.082092,121.569343
捷運西湖站	57216.960817348729,2774994.8763833656	25.082133,121.567213
治磐新村	56871.899853743562,2775081.604263857	25.082929,121.563796
文湖國小	56508.751044829361,2775420.2638877109	25.086,121.56021
美麗華	56311.754325570633,2775246.6500020716	25.08444,121.55825
捷運劍南路站	56043.443231459387,2775291.2916015438	25.084853,121.555592
自強隧道	71472.9070670717,2777098.7634547749	25.1005186,121.7086392
自強隧道	55348.094967983408,2775983.1002790974	25.0911242,121.5487267
植福宮	55310.578029082841,2774845.3365348717	25.080854,121.548309
捷運大直站	55168.45493114202,2774692.1223162981	25.079476,121.546894
大直高中	54746.433088659644,2774660.0487433649	25.0792018,121.5427093
空軍司令部	54473.064674492583,2774673.818951915	25.079336,121.54
忠烈祠	-31460.38233424526,2671975.7161566392	24.1527592,120.690416
忠烈祠	75316.916013795373,2780557.1265394897	25.1315519,121.746939
忠烈祠	-24851.311302514307,2684253.6605258393	24.2637379,120.75524
忠烈祠	49702.513724732846,2764455.2265642774	24.987247,121.4923419
忠烈祠	-19142.278596187007,2716573.9172330983	24.555639,120.811034
忠烈祠	53774.585915416326,2774650.5654340675	25.0791511,121.5330752
忠烈祠	-74642.447406729989,2503080.6106999069	22.6262588,120.2738658
中央電台	53475.423688135459,2774530.6347930529	25.078079,121.530105
圓山大飯店	53039.7465925319,2774446.3005189816	25.077333,121.525783
臺北市立美術館	52885.1685690226,2773873.463758654	25.0721669,121.5242287
捷運圓山站	52470.812910296067,2773781.7098317258	25.071353,121.520118
七海文化園區	54195.972298728433,2774490.16932519	25.077688,121.537246
大直國小	55132.895598602263,2774779.263720246	25.080264,121.546545
自強隧道(大直教會)	55348.094967983408,2775983.1002790974	25.0911242,121.5487267
秀湖	11829.608472462156,2736321.285401226	24.7340071,121.1169439
秀湖	11839.572205834573,2736392.5002969718	24.73465,121.117043
秀湖	-18952.198875130442,2554261.145072232	23.09,120.815
康寧社區	61178.346206251481,2774162.8095629942	25.074466,121.606445
明湖國小	61629.475031666232,2773789.4438266396	25.071077,121.6109
明湖國小	-39104.579992525731,2649849.7815150581	23.9528061,120.61579
社子站	25059.607662043923,2756412.8561626943	24.915245,121.248092
社子國小二	50645.917693000614,2775838.9602587782	25.089988,121.502105
社子國小	50704.416723583287,2775840.4959069411	25.0899999,121.502685
社子國小	8320.9101938153271,2760942.6359099853	24.9563255,121.0824051
社新里	50782.929901483054,2775595.2722279872	25.0877834,121.5034543
社子派出所	50994.721920220989,2775786.4279308254	25.089502,121.505561
社子市場二	51249.012772356182,2775707.0753225903	25.088777,121.508079
社子市場二	-14961.581697938767,2634745.1229812712	23.8168261,120.8531525
社子市場	51351.123767500394,2775565.4557066564	25.087495,121.509086
葫蘆寺	51392.685405552947,2775350.8341731387	25.085556,121.50949
葫東重慶路口	51634.002082398052,2775237.434036524	25.084524,121.511878
陽明高中	30633.000390105179,2763717.87048019	24.981095,121.30343
陽明高中	52244.483133009249,2776109.5077977073	25.092376,121.517963
士林區行政中心(中正)	52404.757734894032,2776163.4025031719	25.092857,121.519554
士林國中	52736.993310859747,2776237.4365407876	25.0935138,121.5228506
捷運士林站(中正)	53077.750490201644,2776241.10787608	25.093535,121.526229
捷運士林站(中正)	51291.04434030359,2770535.8468337031	25.04209,121.508303
捷運士林站(中正)	52220.562434405314,2771000.6028854912	25.046254,121.517532
捷運士林站(中正)	52793.810293813491,2770844.2993000974	25.044823,121.523207
捷運士林站(中正)	52072.123160101437,2770446.422714835	25.041256,121.51604
捷運士林站(中正)	51277.388753439722,2770410.1860044706	25.040956,121.508163
捷運士林站(中正)	52716.859161332752,2770859.730967971	25.044965,121.522445
捷運士林站(中正)	53762.081048405045,2770341.5381180337	25.04025,121.532783
捷運士林站(中正)	52079.223859146878,2770516.1221936471	25.041885,121.516113
捷運士林站(中正)	52965.281141469844,2775281.1994669586	25.084873,121.525077
捷運士林站(中正)	52935.295540796993,2775287.8398255436	25.084934,121.52478
捷運士林站(中正)	53063.252999803219,2776208.1533493735	25.093238,121.526084
捷運士林站(中正)	52933.02491934727,2775275.0927181933	25.084819,121.524757
捷運士林站(中正)	52995.034344466527,2775360.2925138678	25.085586,121.525375
捷運士林站(中正)	53231.2457629451,2776170.1505602952	25.092889,121.527748
捷運士林站(中正)	52988.630077539761,2776410.6789718978	25.095069,121.525352
捷運士林站(中山)	53077.750490201644,2776241.10787608	25.093535,121.526229
台電台北北區營業處	53192.155864017848,2775925.5331836343	25.090682,121.527351
銘傳大學	34563.174617343546,2764103.5546424738	24.9844926,121.3423688
捷運劍潭站(中山)	52965.281141469844,2775281.1994669586	25.084873,121.525077
劍潭	52143.325806428475,2774813.8037168686	25.080682,121.516911
劍潭	52975.369813007659,2774624.06496001	25.0789401,121.5251517
敬業三路一	56081.622768653018,2775147.0510609946	25.0835494,121.5559646
敬業三路二	56119.822511307531,2774760.361141799	25.080057,121.5563275
敬業三路二	56197.419137748511,2774571.8208810166	25.078352,121.557089
敬業三路二	56096.714650972615,2774651.6024116804	25.079076,121.556094
敬業三路二	56127.907448593847,2774842.5844660625	25.080799,121.556411
敬業三路二	56119.843263972136,2774747.966260436	25.0799451,121.5563272
基河二期國宅三	55993.586536291179,2774756.85140456	25.08003,121.555076
基河二期國宅一	56364.605005715843,2774736.2264468721	25.07983,121.558753
濱江國中	56574.458604084786,2774706.0804336122	25.07955,121.560832
內湖基湖路口	57042.1716189389,2775011.3573653931	25.0822884,121.565481
內湖基湖路口	57091.70862275648,2774793.0850295643	25.080316,121.565963
內湖基湖路口	57031.878243813757,2774939.9351138691	25.081644,121.565376
基湖路口	57091.70862275648,2774793.0850295643	25.080316,121.565963
仁寶大樓	57386.379951727358,2774648.5507621849	25.079,121.568878
瑞光港墘路口	57985.751850370747,2774366.0014123977	25.0764263,121.5748075
瑞光路	58042.376180047941,2774325.9557783254	25.0760626,121.5753671
瑞陽三號公園	58597.55932627157,2774153.5814173021	25.074485,121.580863
文德二號公園	58875.811447425869,2774430.9261835837	25.076978,121.583633
港墘派出所	58177.923794184047,2774633.0300825732	25.0788296,121.5767237
基湖站	56947.365414745029,2774717.0481077065	25.079635,121.564529
基湖站	57091.70862275648,2774793.0850295643	25.080316,121.565963
基湖站	57031.878243813757,2774939.9351138691	25.081644,121.565376
基河二期國宅二	56174.455012904153,2774758.8138231938	25.080041,121.556869
捷運劍潭站(基河)	52933.02491934727,2775275.0927181933	25.084819,121.524757
小北街	53017.598547392794,2775913.0008291523	25.090575,121.52562
士林區農會	53002.60422292789,2776189.1975415722	25.093069,121.525482
社園里	51069.022825404587,2776109.5601998111	25.0924167,121.5063096
永倫里(延平)	50518.500904702662,2775952.5777881336	25.091018,121.500846
永倫里(延平)	50531.168212381534,2775991.171813895	25.091366,121.500973
永倫里(延平)	49718.150061226268,2776780.0239382982	25.0985147,121.4929414
永倫里(延平)	50799.938664007415,2775922.265703259	25.0907349,121.503635
永倫里(延平)	50294.309286585558,2776078.1341531151	25.092159,121.498628
永倫里(延平)	50416.650978686077,2776190.3505595718	25.093168,121.499845
永倫里(延平)	50826.3087541574,2775964.7990416628	25.091118,121.503898
永倫里(延平)	50395.470111563016,2776135.4423349048	25.092673,121.499633
永倫里(延平)	50560.328432470262,2775988.7323187105	25.091343,121.501262
永倫里(延平)	50496.041214192323,2775997.7984227473	25.091427,121.500625
公館山	58889.286638292739,2773996.9925940642	25.07306,121.583748
公館山	36809.965431861739,2593975.8507645382	23.4483333,121.3602778
麗寶大樓	58758.071380261528,2773707.4313289407	25.070451,121.582435
時報廣場	58809.838464523491,2773494.0925495694	25.068523,121.582939
民權大橋	57446.876356285306,2772986.4935009028	25.0639929,121.5694083
新湖三路口(台北花市)	58219.820280697328,2772860.0709260008	25.062822,121.577064
行愛路77巷口	58754.831048969914,2772911.3459327491	25.0632642,121.5823689
行愛路	58584.56958773925,2772916.9165887451	25.0633211,121.5806816
行忠行愛路口	58397.7123915187,2773207.4809374772	25.0659515,121.5788419
福林國小	53387.06734710771,2776697.816334011	25.0976472,121.5293133
士林官邸(中正)	53601.4468942957,2776551.0929114562	25.096315,121.531433
泰北中學	53848.653534344186,2776682.4417328327	25.097492,121.533889
